rumi	expected	predicted	source
jurureka	جوروريک	جورورک	rules
kadet	کاديت	کادت	rules
kafein	کافيين	کافيئين	rules
kafeina	کافيينا	کافيئينا	rules
kaleidoskop	کاليدوسکوڤ	کاليئيدوسکوڤ	rules
kecepek	کچيڤيق	کچڤق	rules
kecer	کيچير	کچر	rules
kekanak-kanakan	ککنق-کانقن	ککانق-کاناکن	mixed
kelembak	کلمبق	کليمبق	morph
keliwat	کليوات	کلواط	morph
kemarahannya	کمارهنڽ	کماراهنڽ	morph
kenanya	کيناڽ	کناڽ	morph
kenyataannya	کڽتاءنڽ	کڽاتاءنڽ	morph
kharajat	خراجة	خاراجت	rules
khusmat	خصمة	خوسمت	rules
kontena	کونتينا	کونتنا	rules
konvensional	کونۏينسيونل	کونۏنسيونل	rules
labbaika	لبيک	لبباءيک	rules
lambing	لامبيڠ	لمبيڠ	rules
lambut	لامبوت	لمبوت	rules
leftenan	ليفتنن	لفتنن	rules
legalistik	ليݢليستيک	لݢاليستيق	rules
loh	لوح	لوه	rules
majakaya	مجاکاي	ماجاکاي	rules
manganit	مڠانيت	ماڠانيت	rules
masakat	مشقة	ماساکت	rules
mashumi	مشومي	مسهومي	rules
matalamat	متلامت	ماتالامت	rules
mekonium	ميکونيوم	مکونيوم	rules
membenar-benari	ممبنر-بنري	ممبنر-بناري	mixed
memberantas	ممڤرنتس	ممبرنتس	morph
memuramkan	ممڤرمکن	ممورمکن	morph
mengajun	مڠاجون	مڠجون	morph
mengangah	مڠاڠه	مڠڠه	morph
mengapikan	مڠاڤيکن	مڠڤيقن	morph
mengkontenakan	مڠکونتيناکن	مڠکونتناکن	rules
mengolok-olok	مڠولوق-اولوق	منݢولوق-اولوق	mixed
menguitkan	مڠوءيت	مڠوءيتکن	morph
mensrea	مينسريا	منسريا	rules
menyeduai	مڽدواءي	مڽدواي	morph
meranggikan	مرڠݢيکن	مرڠ-ݢيکن	morph
muksir	مقصر	موقسير	rules
muktamad	معتمد	موکتامد	rules
nasuha	نصوها	ناسوها	rules
nefropiosis	نيفروڤيوسيس	نفروڤيوسيس	rules
ong	ءوڠ	اوڠ	rules
ontogeni	اونتوݢيني	اونتوݢني	rules
pasilan	ڤسيلن	ڤاسيلن	rules
pelanting	ڤلنتيڠ	ڤلانتيڠ	morph
pemilik-pemiliknya	ڤميليق-ڤميليقڽ	ڤميليق٢ڽ	mixed
penganjakan	ڤڠنجقن	ڤڠنجاقن	morph
penyegerakan	ڤڽݢرقن	ڤڽݢراکن	morph
perguruan	ڤرݢوروان	ڤرݢوروران	morph
perpuakan	ڤرڤواقکن	ڤرڤواقن	morph
prah	ڤراه	ڤره	rules
prospek	ڤروسڤيک	ڤروسڤق	rules
psikotik	ڤسيکوتيک	ڤسيکوتيق	rules
ra	راء	را	rules
rahimahullah	رهمهالله	راهيماهولله	rules
rapana	رڤان	راڤانا	rules
rengan	رڠن	ريڠن	morph
renggek	ريڠݢيق	رڠݢق	rules
restan	ريستن	رستن	rules
rupiah	روڤياه	روڤيئه	rules
safar	صفر	سافر	rules
saluru	سلورو	سالورو	rules
sayid	سيد	ساييد	rules
sebusuk-busuk	سبوسوق٢	سبوسوق-بوسوق	mixed
segel	سيݢيل	سݢيل	morph
sekurang-kurangnya	سکورڠ٢ڽ	سکورڠ-کورڠڽ	mixed
selaman	سلمن	سلامن	morph
selepetan	سلڤيتن	سليڤيتن	morph
semulia-mulia	سموليا٢	سموليا-موليا	mixed
sepet	سڤت | سيڤيت	سڤيت	morph
sergahan	سرݢهن	سرݢاهن	rules
sintetik	سينتيتيک	سينتتيق	rules
soksek	سوقسيق	سوقسق	rules
songeh	سوڠيه	سوڠه	rules
stenosis	ستينوسيس	ستنوسيس	rules
sturgeon	ستورݢييون	ستورݢيون	rules
superior	سوڤيريور	سوڤريور	rules
syer	شير	شر	rules
tanpadaksa	تنڤادقسا	تنڤادکسا	rules
taun	طاعون	تاءون	rules
telefonis	تيليفونيس	تلفونيس	rules
telekom	تيليکوم	تلکوم	rules
tengker	تيڠکير	تڠکر	rules
tuksedo	توکسيدو	توقسدو	rules
ukhrawi	اخروي	اوخراوي	rules
umulbuldan	امالبلدان	اومولبولدن	rules
urinometer	اورينوميتر	اورينومتر	rules
ventrikel	ۏينتريکل	ۏنتريکل	rules
waliullah	وليالله	واليولله	rules
wisesa	ويسيسا	ويسسا	rules
