fold	rumi	expected	predicted	source
1	isim-isim	ايسيم٢	اسم٢	mixed
1	keperang-perangan	کڤيرڠ-ڤيرڠن	کڤرڠ-ڤراڠن	mixed
1	musyrifat	مشرفة	موشريفت	rules
1	agen	اݢين	اݢن	rules
1	dewan	ديوان	دون	rules
1	sondek	سونديق	سوندق	rules
1	diasing-asingkan	داسيڠ٢کن	داسيڠ-اسيڠکن	mixed
1	mengaminasikan	مڠاميناسيکن	مڠميناسيکن	morph
1	sape	ساڤي	ساڤى	rules
1	member	ميمبر	ممبر	morph
1	sinkronik	سينکرونيک	سينکرونيق	rules
1	ketaatsetiaan	کطاعتستياءن	کتاءتستياءن	rules
1	permanganat	ڤرمنݢانت	ڤرماڠانت	rules
1	menyamai	مڽاماءي	مڽماي	morph
1	romantik	رومنتيک	رومنتيق	rules
1	memurahkan	ممڤرهکن	ممورهکن	morph
1	dipanggungkan	دڤڠݢوڠکن	دڤ-ڠ-ݢوڠکن	morph
1	belek	بليق | بيليق	بلق	rules
1	bengkel	بيڠکيل	بڠکل	rules
1	samah-samai	سامه-ساماي	سامه-سامي	mixed
1	bijana	بيجان	بيجانا	rules
1	berdiri-diri	برديري٢	برديري-ديري	mixed
1	peringatkanlah	ڤريڠتکنله	ڤرايڠتکنله	morph
1	musyawarah	مشاورة	موشاواره	rules
1	cangkel	چڠکيل	چڠکل	rules
1	retrogresif	ريتروݢريسيف	رتروݢرسيف	rules
1	superordinat	سوڤراوردينت	سوڤروردينت	rules
1	labuci	لبوچي	لابوچي	rules
1	dehem	دهيم	دهم	rules
1	magersari	مݢرساري	ماݢرساري	rules
1	kontraseptif	کونتراسيڤتيف	کونتراسڤتيف	rules
1	karamel	کاراميل	کارامل	rules
1	sintetis	سينتيتيس	سينتتيس	rules
2	pengalir	ڤڠالير	ڤنݢالير	morph
2	hemoroid	هيموروءيد	هموروءيد	rules
2	rambuti	رمبوتي	رامبوتي	morph
2	menyelat	مڽلت	مڽيلت	morph
2	tekoh	تيکوه	تکوه	rules
2	adakan	اداکن	ادقن	morph
2	pateri	ڤتري	ڤاتري	rules
2	steno	ستينو	ستنو	rules
2	dalal	دلال	دالل	rules
2	menafahusi	منفحوصي	منفحوسي	morph
2	bisektrise	بيسيکتريسى	بيسکتريسى	rules
2	bijaksana	بيجقسان	بيجقسانا	rules
2	teli	تيلي	تلي	rules
2	prebet	ڤريبيت	ڤربت	rules
2	egat	اݢت	ايݢت	rules
2	kriogenik	کريوݢينيک	کريوݢنيق	rules
2	rabbulghafur	ربالغفور	رببولغافور	rules
2	eksistensi	ايکسيستينسي	ايکسيستنسي	rules
2	loh	لوح	لوه	rules
2	trek	تريک	ترق	rules
2	maura	ماورا	ماءورا	rules
2	murabbi	مربي	مورببي	rules
2	determinisme	ديترمينيسمى	دترمينيسمى	rules
2	al-mujib	المجيب	الموجيب	mixed
2	merdesa	مرديسا	مردسا	rules
2	bakbat	بقبت	بکبت	rules
2	benteh	بينتيه	بنته	rules
2	lento	لينتو	لنتو	rules
2	kelentong	کلينتوڠ	کلنتوڠ	morph
2	jose	جوسي	جوسى	rules
2	yakin	يقين	ياکين	rules
2	memerikan	ممريکن	ممريقن	morph
2	suborder	سوبئوردر	سوبوردر	rules
2	gores	ݢوريس	ݢورس	rules
2	sundae	سونداى	سونداءي	rules
2	fuqaha	فقهاء	فوقاها	rules
2	mengadoi	مڠادوي	مڠدوي	morph
2	gelayaran	ݢلايرن	ݢلايارن	rules
2	teks	تيکس	تقس	rules
2	cembeng	چيمبيڠ	چمبڠ	rules
2	alamin	عالمين	الامين	rules
2	memacak-macakkan	مماچق-ماچقکن	مماچق-ماچککن	mixed
2	barometer	باروميتر	بارومتر	rules
2	mufasir	مفسير	موفاسير	rules
2	memakruhkan	ممڤروهکن	ممکروهکن	morph
2	tamam	تمام	تامم	rules
2	lawean	لاويان	لاوين	morph
2	bertitik-titik	برتيتيق٢	برتيتيق-تيتيق	mixed
2	disangkakan	دسڠکاکن	دساڠکقن	morph
2	memurus	ممڤروس	مموروس	morph
2	swasta	سواستا	سوستا	rules
2	karped	کرڤيد	کرڤد	rules
2	ditandakan	دتنداکن	دتندقن	morph
2	berdegum-degum	بردݢوم٢	بردݢوم-دݢوم	mixed
2	muhajirin	مهاجرين	موهاجيرين	rules
2	penghadam	ڤڠهضم	ڤڠخدم	morph
2	beset	بيسيت	بسيت	morph
2	ember	ايمبير	ايمبر	rules
2	pengamuk	ڤڠاموق	ڤڠموق	morph
2	kampai	کمڤاي	کامڤاي	morph
2	memperkuasai	ممڤرکواساءي	ممڤرکواسي	morph
2	ugama	اوݢام	اوݢاما	rules
2	labiovelar	لابيوۏيلر	لابيوۏلر	rules
2	atisynak	اتشناق	اتيشنق	rules
2	pengelaman	ڤڠلمن	ڤنݢلمن	morph
2	telakan	تلاکن	تلقن	morph
2	dipersamakan	دڤرساماکن	دڤرسامقن	morph
2	senewen	سنيون	سنون	rules
2	direnggangkan	درڠݢڠکن	درڠ-ݢ-ڠکن	morph
2	panggang	ڤ-ڠݢ-ڠ	ڤڠݢڠ	rules
2	al-adl	العدل	الادل	mixed
2	pengerek	ڤڠيريق	ڤنݢيريق	morph
2	rafidi	رافضي	رافيدي	rules
2	pendarflour	ڤندرفلور	ڤندرفلوور	rules
2	brevet	برۏيت	برۏت	rules
2	receng	ريچيڠ	رچڠ	rules
3	diselakan	دسلاکن	دسلقن	morph
3	memberangsang	ممڤرڠسڠ	ممبرڠسڠ	morph
3	regionalisme	ريݢيوناليسمى	رݢيوناليسمى	rules
3	muslim	مسلم	موسليم	rules
3	perlaki	ڤرلقي	ڤرلاکي	morph
3	khalilullah	خليلالله	خاليلولله	rules
3	anuiti	انويتي	انوءيتي	rules
3	mendebukan	مندبوکن	مندبوقن	morph
3	akademi	اکاديمي	اکادمي	rules
3	koncet	کونچيت	کونچت	rules
3	kamarku	قمرکو	کامرکو	morph
3	eksentrik	ايکسينتريک	ايکسنتريق	rules
3	panasaran	ڤناسرن	ڤاناسارن	rules
3	pasifik	ڤاسيفيک	ڤاسيفيق	rules
3	fotosensitif	فوتوسينسيتيف	فوتوسنسيتيف	rules
3	mahaguru	مهاݢورو	ماهاݢورو	rules
3	mesui	مسوي	مسوءي	rules
3	ihram	اهرام	ايهرم	rules
3	rahib	راهب	راهيب	rules
3	xilofaj	زيلوفج	کسيلوفج	rules
3	dendrokronologi	ديندروکرونولوݢي	دندروکرونولوݢي	rules
3	meneggelamkan	منڠݢلمکن	منݢݢلمکن	rules
3	mengedor	مڠدور	منݢدور	morph
3	gabra	ݢابرا	ݢبرا	rules
3	sekstet	سيکستيت	سکستت	rules
3	memori	ميموري	مموري	morph
3	sintesis	سينتيسيس	سينتسيس	rules
3	lungse	لوڠسي	لوڠسى	rules
3	malak	ملک	مالق	rules
3	membajai	ممباجاءي	ممباجي	morph
3	metodis	ميتوديس	متوديس	rules
3	widak	وداع	ويدق	rules
3	katoptrik	کاتوڤتريک	کاتوڤتريق	rules
3	juzbah	جزبه	جوزبه	rules
3	ekplorasi	ايکسڤلوراسي	ايکڤلوراسي	rules
3	takzim	تعظيم	تکزيم	rules
3	mengatur	مڠاتور	مڠتور	morph
3	mengayuh	مڠايوه	منݢايوه	morph
3	testa	تيستا	تستا	rules
3	diapi-apikan	داڤي-اڤيکن	داڤي-اڤيقن	mixed
3	meranggikan	مرڠݢيکن	مرڠ-ݢيکن	morph
3	hamam	حمام	هامم	rules
3	diesel	ديسيل	ديئسل	rules
3	kalam	کلام | کلم | قلم	کالم	rules
3	pokrol	ڤوقرول	ڤوکرول	rules
3	ain	عين	اءين	rules
3	menjerakan	منجراکن	منجرقن	morph
3	seramik	سيراميک	سراميق	rules
3	celengkang-celengkok	چليڠکڠ-چليڠکوق	چلڠکڠ-چليڠکوق	mixed
3	mengerau	مڠيراو	منݢراو	morph
3	kailan	کايلن	کاءيلن	morph
3	majakaya	مجاکاي	ماجاکاي	rules
3	memateraikan	ممڤرايکن	ممترايکن	morph
3	mengacukkan	مڠاچوقکن	مڠچوقکن	morph
3	kecewa	کچيوا	کچوا	rules
3	cekcok	چيقچوق	چکچوق	rules
3	proteinuria	ڤروتينوريا	ڤروتيئينوريا	rules
3	inteligensia	اينتيليݢينسيا	اينتليݢنسيا	rules
3	digayakan	دݢاياکن	دݢايکن	morph
3	zooekologi	زوايکولوݢي	زووکولوݢي	rules
3	berumbai	براومباي	برومباي	morph
3	ifrad	افراد	ايفرد	rules
3	bedel	بديل	بدل	rules
3	pengisytiharan	ڤڠيشتيهارن	ڤڠشتهارن	morph
3	kilohertz	کيلوهرز	کيلوهرتز	rules
3	berkelantasan	برکلنتسن	برکلنتاسن	rules
3	mekanis	ميکانيس	مکانيس	rules
3	pel	ڤيل	ڤل	rules
3	samseng	سمسيڠ	سمسڠ	rules
3	kebaqaan	کبقاءن	کبقاءاءن	morph
3	dikesinikan	دکسينيکن	ديکسينيکن	rules
3	sempoh	سيمڤوه	سمڤوه	rules
3	kuinina	کوينينا	کوءينينا	rules
3	inkues	اينکوءيس	اينکويس	rules
3	kesejalanan	کسجالنن	کسجالانن	rules
3	mengikhlaskan	مڠيخلاصکن	مڠاخلاسکن	morph
3	berdendang	برديندڠ	بردندڠ	morph
3	nitrik	نيتريک	نيتريق	rules
3	gelendong	ݢليندوڠ	ݢلندوڠ	rules
3	eksais	ايکساءيس	ايقساءيس	rules
3	espritdecorps	ايسڤريدکو	ايسڤريتدچورڤس	rules
3	personel	ڤرسونيل	ڤرسونل	rules
3	flanelet	فلانيليت	فلانلت	rules
4	spermatozoon	سڤرماتوزون	سڤرماتوزوءون	rules
4	prostesis	ڤروستيسيس	ڤروستسيس	rules
4	perempuan	ڤرمڤوان	ڤرامڤوان	morph
4	pengambusan	ڤڠمبوسن	ڤنݢمبوسن	morph
4	fitogenesis	فيتوݢينيسيس	فيتوݢنسيس	rules
4	sonometer	سونوميتر	سونومتر	rules
4	menguar-uarkan	مڠووار-اووارکن	مڠووار-اوارکن	mixed
4	taakul	تعقول	تاءاکول	rules
4	pedagogi	ڤيداݢوݢي	ڤداݢوݢي	rules
4	bet	بيت	بت	rules
4	gopoh-mamang	ݢوڤوه-ماماڠ	ݢوڤوه-مامڠ	mixed
4	wasak	وسق	واسق	rules
4	kanjar	کانجر	کنجر	rules
4	keelektrikan	کايليکتريکن	کيئيلکتريکن	rules
4	roncet	رونچيت	رونچت	rules
4	mahakarya	مهاکاريا	ماهاکري	rules
4	publik	ڤوبليک	ڤوبليق	rules
4	metafizis	ميتافيزيس	متافيزيس	rules
4	lelai	للاي	ليلاي	morph
4	cega	چيݢ	چݢ	rules
4	maakul	معقول	ماءاکول	rules
4	mengamatkan	مڠامتکن	مڠقمةکن	morph
4	menyegani	مڽݢني	مڽݢاني	morph
4	mahmud	محمود	مهمود	rules
4	sangapa	سڠاڤ	ساڠاڤا	rules
4	keikhlasan	کاخلاصن	کاخلاسن	morph
4	sihat	صيحت	سيهت	rules
4	ketakberubahan	کتقبراوبهن	کتکبروباهن	rules
4	murahik	مورهق	موراهيق	rules
4	gedempong	ݢديمڤوڠ	ݢدمڤوڠ	rules
4	kebek	کيبيق	کبيک	morph
4	syahid	شهيد	شاهيد	rules
4	tsar	تزر	تسر	rules
4	seksual	سيکسوال	سقسوال	rules
4	prasarjana	ڤراسرجان	ڤراسرجانا	rules
4	taufik	توفيق	تاءوفيق	rules
4	berada-ada	برادا-اد | براد٢	براد-اد	mixed
4	durat	درة	دورت	rules
4	nasakh	نسخ	ناسخ	rules
4	makrobiotik	مکروبيوتيک	مکروبيوتيق	rules
4	sahibulhikayat	صاهبالحکاية	ساهيبولهيکايت	rules
4	haji	حج | حاج	هاجي	rules
4	fasik	فاسق	فاسيق	rules
4	disimpirkan	دسيڤيرکن	دسيمڤيرکن	morph
4	renehan	رينيهن	رنهن	rules
4	mengerumit	مڠروميت	منݢروميت	morph
4	reneh	رينيه	رنه	rules
4	rekal	ريکل	رکل	rules
4	sarer	سارير	سارر	rules
4	becek	بيچيق	بچيک	morph
4	meraba-raba	مرابا-راب	مراب-راب	mixed
4	berenggang	برڠݢڠ | براڠݢڠ	برڠ-ݢ-ڠ	morph
4	fotografi	فوتوݢرافي	فوتوݢرفي	morph
4	rengrengan	ريڠريڠن	رڠرڠن	rules
4	elektrik	ايليکتريک	ايلکتريق	rules
4	invertebrata	اينۏرتيبراتا	اينۏرتبراتا	rules
4	membuayai	ممبواياءي	ممبواياي	morph
4	diakal-akalkan	دعقل٢کن	دعقل-عقلکن	mixed
4	meratai	مراتاءي	مراتي	morph
4	dikedepankan	دکدڤنکن	ديکدڤنکن	rules
4	kalamina	کلامينا	کالامينا	rules
4	sekeram	سکيرم	سکرم	morph
4	telekan	تلکن	تلقن	morph
4	residu	ريسيدو	رسيدو	rules
4	tazkirat	تذکرة	تزکيرت	rules
4	emetik	ايميتيک	ايمتيق	rules
4	keranggian	کرڠݢين	کرڠ-ݢين	morph
4	deltiologi	ديلتيولوݢي	دلتيولوݢي	rules
4	diguling	دݢوليڠ	ديݢوليڠ	rules
4	tetanus	تيتانوس	تتانوس	rules
4	subhana	سبحان	سوبهانا	rules
4	infraorbit	اينفراءوربيت	اينفراوربيت	rules
4	orogeni	اوروݢيني	اوروݢني	rules
4	alakah	علقة	الاکه	morph
4	hebat	هيبت	هبت	rules
4	serong	سيروڠ	سروڠ	morph
4	awewek	اويويق	اووق	rules
4	kaabah	کعبة	کاءابه	rules
4	takdir	تقدير	تکدير	rules
4	pengatas	ڤڠاتس	ڤڠتس	morph
5	pemandatorian	فمنداتورين	ڤمنداتورين	morph
5	berbelak	بربيلق	بربلق	morph
5	ditirukan	دتيروکن	دتيروقن	morph
5	perasanan	ڤراسنن	ڤرسنن	morph
5	oleometer	اوليوميتر	اوليومتر	rules
5	al-awwal	الاول	الاوول	mixed
5	kiryah	کرية	کيريه	rules
5	koteng	کوتيڠ	کوتڠ	rules
5	menganyang	مڠاڽڠ	منݢاڽڠ	morph
5	pebean	ڤبيان	ڤبان	rules
5	halamang	هلامڠ	هالامڠ	rules
5	seminaris	سيمينريس	سميناريس	rules
5	taluki	تلوکي	تالوکي	rules
5	tersebak	ترسيبق	ترسبق	morph
5	sukakan	سوککن	سوکاکن	morph
5	tembel	تيمبيل	تمبل	rules
5	mencercai	منچرچاءي	منچرچاي	morph
5	penakan	ڤناکن	ڤنکن	morph
5	ilah	اله	ايله	rules
5	al-ali	العلى	الالي	mixed
5	qariah	قارئه	قاريئه	rules
5	ada	اد	ادا	rules
5	intraotot	اينتراءوتوت	اينتراوتوت	rules
5	berbegar	بربيݢر	بربݢر	morph
5	dipilih-nya	دڤيليهڽ	دڤيليه-ڽا	mixed
5	rambut	رامبوت	رمبوت	rules
5	tunanetra	تونانيترا	تونانترا	rules
5	abalone	ابالوني	ابالونى	rules
5	jengkel	جيڠکيل	جڠکل	rules
5	mengila	مڠيلا	منݢيلا	morph
5	perimeter	ڤيريميتر	ڤريمتر	rules
5	konsesi	کونسيسي	کونسسي	rules
5	anekarama	انيکاراما	انکاراما	rules
5	mengegatkan	مڠݢتکن	منݢݢتکن	morph
5	elang	الڠ	ايلڠ	rules
5	megabait	ميݢاباءيت	مݢاباءيت	rules
5	dicurigai	دچوريݢاءي	دچوريݢي	morph
5	afektif	افيکتيف	افکتيف	rules
5	taiso	تايسو	تاءيسو	rules
5	arif	عاريف	اريف	rules
5	al-zahir	الظاهر	الظاهير	mixed
5	rampana	رمڤان	رمڤانا	rules
5	dekaliter	ديکاليتر	دکاليتر	rules
5	margasatwa	مرݢستوا	مرݢاستوا	rules
5	adik-adiknya	اديق-اديقڽ	اديق٢ڽ	mixed
5	teokratik	تيوکراتيک	تيوکراتيق	rules
5	keler	کيلير	کلر	rules
5	nondeng	نونديڠ	نوندڠ	rules
5	terlepa	ترليڤا	ترلڤا	morph
5	didustai	ددوستاءي	ددوستاي	morph
5	melodrama	ميلودراما	ملودراما	rules
5	viremia	ۏيريميا	ۏيرميا	rules
5	semua-semuanya	سموا-سمواڽ	سموا٢ڽ	mixed
5	memfadihatkan	ممفضيحتکن	ممفضيحةکن	morph
5	seksuil	سيکسوءيل	سقسوءيل	rules
5	faset	فاسيت	فاست	rules
5	embun	امبون	ايمبون	rules
5	pokta	ڤوقتا	ڤوکتا	rules
5	tata	تات	تاتا	rules
5	popokan	ڤوڤوکن	ڤوڤوقن	morph
5	refleksi	ريفليکسي	رفلکسي	rules
5	penyairnya	ڤڽعيرڽ	ڤڽاءيرڽ	morph
5	kunapa	کوناڤ	کوناڤا	rules
5	iqlab	اقلاب	ايقلب	rules
5	juruazan	جورواذان	جوروازن	rules
5	preskriptif	ڤريسکريڤتيف	ڤرسکريڤتيف	rules
5	menempek-nempekkan	منيمڤيق-نيمڤيقکن	منيمڤيق-نمڤککن	mixed
5	hegeh	هيݢيه	هݢه	rules
5	sewat	سيوات	سوات	morph
5	ditoyakan	دتوياکن	دتويقن	morph
5	diplomatik	ديڤلوماتيک	ديڤلوماتيق	rules
5	dikelolakan	دکلولاکن	ديکلولاکن	rules
5	berbilang-bilang	بربيلڠ٢	بربيلڠ-بيلڠ	mixed
5	arboreal	اربوريال	اربورال	rules
5	mengawal	مڠاول	منݢاول	morph
5	afdal	افضل	افدل	rules
6	dinamik	ديناميک	ديناميق	rules
6	meteor	ميتيور	متيور	rules
6	pengamitan	ڤڠاميتن	ڤنݢاميتن	morph
6	prarasa	ڤراراس	ڤراراسا	rules
6	sufi	صوفي	سوفي	rules
6	tampel	تمڤيل	تمڤل	rules
6	darmabakti	درمابقتي	درمابکتي	rules
6	syawal	شوال	شاول	rules
6	kepok	کيڤوق	کڤوق	morph
6	iktikaf	اعتکاف	ايکتيکف	rules
6	gesel	ݢيسيل	ݢسل	rules
6	terombak	ترومبق	تراومبق	morph
6	perleng	ڤرليڠ	ڤرلڠ	rules
6	menopaus	مينوڤاءوس	منوڤاءوس	rules
6	kongkek	کوڠکيق	کوڠکق	rules
6	kancing	کانچيڠ	کنچيڠ	rules
6	menyukakan	مڽوکاکن	مڽوککن	morph
6	taukua	تاوکوا	تاءوکوا	rules
6	tarasul	تراسول	تاراسول	rules
6	segeh	سيݢيه	سݢه	rules
6	grafemik	ݢرافيميک	ݢرافميق	rules
6	mewahyukan	موحيوکن	موحيکن	morph
6	gepeng	ݢيڤيڠ	ݢڤڠ	rules
6	mengerapi	مڠرڤي	مڠراڤي	morph
6	jet	جيت	جت	rules
6	mengogok-ogok	مڠوݢوق-اوݢق	منݢوݢوق-اوݢوق	mixed
6	gimik	ݢيميک	ݢيميق	rules
6	menyelai	مڽلاءي	مڽلاي	morph
6	zulhijah	ذوالحجه	زولهيجه	rules
6	murakab	مرکب	موراکب	rules
6	progresif	ڤروݢريسيف	ڤروݢرسيف	rules
6	memperkotakan	ممڤرکوتاکن	ممڤرکوتقن	morph
6	hui	هوي	هوءي	rules
6	anjangkarya	انجڠکاريا	انجڠکري	rules
6	kadas	قدس	کادس	rules
6	jengkolet	جيڠکولت	جڠکولت	rules
6	mengegah	مڠيݢه	مڠݢه	morph
6	kotek	کوتيق	کوتق	rules
6	lempeng	ليمڤيڠ	لمڤڠ	rules
6	ihtimal	اهتمال	ايهتيمل	rules
6	cambang	چامبڠ	چمبڠ	rules
6	tetani	تيتاني	تتاني	rules
6	dentin	دينتين	دنتين	rules
6	buruj	بروج	بوروج	rules
6	jauza	جوزاء	جاءوزا	rules
6	meres	ميريس	مرس	rules
6	buret	بوريت	بورت	rules
6	hadirat	حاضيرات	هاديرت	rules
6	mengeduk	مڠدوق	منݢدوق	morph
6	celari	چلاري	چلري	morph
6	assalamualaikum	السلامعليکم	اسسالاموالاءيکوم	rules
6	sidratulmuntaha	سدرةالمنتهى	سيدراتولمونتاها	rules
6	diadukannya	دادوقنڽ	دادوکنڽ	morph
6	genital	ݢينيتل	ݢنيتل	rules
6	avionik	اۏيونيک	اۏيونيق	rules
6	tetel	تيتيل	تتل	rules
6	mantuk	منطوق	منتوق	rules
6	kemosintesis	کيموسينتيسيس	کموسينتسيس	rules
6	azab	عذاب	ازب	rules
6	haiwan	حيوان	هاءيون	rules
6	memberaso	ممڤراسو	ممبراسو	morph
6	ureta	اوريترا	اورتا	rules
6	kantang	کانتڠ	کنتڠ	rules
6	tiroiditis	تيرويديتيس	تيروءيديتيس	rules
6	golek	ݢوليق	ݢولق	rules
6	fatan	فطن	فاتن	rules
6	dwipecahan	دويڤچهن	دويڤچاهن	rules
6	memberontak	ممڤرونتق	ممبرونتق	morph
6	siena	سيينا	سيئنا	rules
6	empat	امڤت	ايمڤت	rules
6	berperanjung	برڤرانجوڠ	برڤرنجوڠ	rules
6	cengku	چڠکو	چيڠکو	morph
6	muhsinat	محسنة	موهسينت	rules
6	sebesar-besarnya	سبسر٢ڽ	سبسر-بسرڽ	mixed
6	nusyuz	نشوز	نوشوز	rules
6	bahrulhayat	بحرالحياة	بهرولهايت	rules
6	kebungkaman	کبوڠکمن	کبوڠکامن	rules
6	kalamkari	کلمکاري	کالمکاري	rules
6	pengagihan	ڤڠاݢيهن	ڤڠݢيهن	morph
6	pelangkin	ڤلڠکين	ڤلاڠکين	morph
7	senapati	سيناڤاتي	سناڤاتي	rules
7	maksilitis	مکسيليتيس	مقسيليتيس	rules
7	celengkoh	چليڠکوه	چلڠکوه	rules
7	kasyaf	کشف	کاشف	rules
7	mengelipkan	مڠليڤکن	منݢليڤکن	morph
7	fesyen	فيشن	فشن	rules
7	deresi	دريسي	ديريسي	morph
7	fariq	فارق	فاريق	rules
7	dahulukala	دهولوکالا	داهولوکالا	rules
7	pemesan	ڤمسن	ڤميسن	morph
7	terasakan	تراساکن	تراسقن	morph
7	diserapi	دسيرڤي	دسرڤي	morph
7	menyambar-nyambar	مڽامبر-ڽامبر	مڽامبر-ڽمبر	mixed
7	piama	ڤيام	ڤياما	rules
7	hausalah	حوصلة	هاءوساله	rules
7	uir	اووير	اوءير	rules
7	reaksi	رياکسي	راقسي	rules
7	bernakhoda	برنخودا	برناخودا	rules
7	kewarakan	کوارعن	کورعن	morph
7	penyandiwarakan	ڤڽنديواراءن	ڤڽنديواراکن	morph
7	mursyidulam	مرشدالعم	مورشيدولم	rules
7	analitik	اناليتيک	اناليتيق	rules
7	misal	ميثل	ميسل	rules
7	memesrai	ممڤراءي	ممسراي	morph
7	kasai	کاساي	کاسي	morph
7	khulak	خلع	خولق	rules
7	mursalin	مرسلين	مورسالين	rules
7	kelentom	کلينتوم	کلنتوم	rules
7	destinasi	ديستيناسي	دستيناسي	rules
7	nakhoda	نخودا	ناخودا	rules
7	mengilham	مڠيلهام	مڠلهام	morph
7	gelek	ݢيليق	ݢلق	rules
7	mengantungkan	مڠانتوڠکن	منݢنتوڠکن	morph
7	mulhid	ملحد	مولهيد	rules
7	belelek	بليليق	بللق	rules
7	cebong	چيبوڠ	چبوڠ	rules
7	serahkan	سيرهکن	سرهکن	morph
7	sukma	سوقما	سوکما	rules
7	sensor	سينسور	سنسور	rules
7	samudera	سمودرا	سامودرا	rules
7	engap	اڠڤ	ايڠڤ	rules
7	bahala	بهالا	باهالا	rules
7	nisa	نساء	نيسا	rules
7	pasanggrahan	ڤسڠݢراهن	ڤاسڠݢراهن	rules
7	mengghairahkan	مڠغيرهکن	مڠغاءيرهکن	morph
7	maulud	مولود	ماءولود	rules
7	haleja	هليجا	هالجا	rules
7	khalkah	خلقه	خلکه	rules
7	penokoktambahan	ڤنوکوقتمبهن	ڤنوکوکتمباهن	rules
7	mengamanatkan	مڠامانتکن	مڠمانتکن	morph
7	ngukngik	ڠوقڠيق	ڠوکڠيق	rules
7	ijab	ايجاب	ايجب	rules
7	dilenggang	دل-يڠ-ݢ-ڠ	دلڠݢڠ	morph
7	bazuka	بازوکا	بازوک	rules
7	menganjal	مڠنجل	منݢنجل	morph
7	prasarana	ڤراساران	ڤراسارانا	rules
7	terkepak	ترکيڤق	ترکڤق	morph
7	objektiviti	اوبجيکتيۏيتي	اوبجکتيۏيتي	rules
7	etek	ايتيق	ايتق	rules
7	mukjizat	معجزة	موکجيزت	rules
7	indonesia	ايندونيسيا	ايندونسيا	rules
7	ronggeng	روڠݢيڠ	روڠݢڠ	rules
7	syarikat	شريکت	شاريکت	rules
7	mengarun	مڠارون	مڠقارون	morph
7	keletah	کليته	کلته	morph
7	rajim	رجيم	راجيم	rules
8	tafahus	تفحوس	تافاهوس	rules
8	moluska	مولوسکا	مولوسک	rules
8	hawalah	حوالة	هاواله	morph
8	gender	ݢيندر	ݢندر	rules
8	etiket	ايتيکيت	ايتيکت	rules
8	lame	لامي	لامى	rules
8	knob	نوب	کنوب	rules
8	bakawali	بکاوالي	باکاوالي	rules
8	sayarah	سيارة	ساياره	rules
8	mesan	ميسن	مسن	rules
8	gazebo	ݢازيبو	ݢازبو	rules
8	beruban	براوبن	بروبن	morph
8	kuplet	کوڤليت	کوڤلت	rules
8	voile	ۏوءيل	ۏوءيلى	rules
8	mengiri	مڠيري	منݢيري	morph
