rumi,predicted,true
perbagai-bagai,ڤرباݢاي٢,ڤرباݢاي-باݢاي
baghi,بغي,باغي
bagimana,بݢيمان,باݢيمان
bahai,بهاي,بهاءي
bahak,بحق,باهق
terbahak-bahak,ترباهق-بهق,ترباهق-باهق
baham,بهم,باهم
membaham,ممبهم,ممباهم
membahan,ممبهن,ممباهن
membahangi,ممبهڠي,ممباهڠي
bahantara,بهنتارا,باهنتارا
bahar,بحر,باهر
bahari,بهري,بهاري
bahari,بهري,بحري
baharullah,بهرالله,بحرالله
berbahas-bahasan,بربحث-بحسن,بربحث-بحثن
bahat,بحت,باهت
bahrulhayat,بهرالحيات,بحرالحياة
bai,باءي,بيع
baiah,بايه,بيعة
baiat,بعية,بيعة
baid,باءيد,بيض
baid,باءيد,بعيد
bainah,باءينه,بينة
bairup,باءيروڤ,بايروڤ
baitulmal,بيطالمل,بيتالمال
bakarat,بکرت,بکارت
bakda,بعدا,بعض
bakelit,بکليت,باکليت
bakeri,بکري,باکري
baki,باکي,باقي
bakiak,بقياق,بکياق
baksis,بکسيس,بقسيس
baksut,بقسوت,بکسوت
bakteria,بکتريا,بکتيريا
bala,بالا,بلاء
balaghah,بلغة,بلاغة
berbalah-balahan,برباله-بالهن,برباله-باله
balairung,بلايروڠ,بالايروڠ
balak,بلاق,بالق
balalaika,بلالايکا,بالالايکا
balam,بلم,بالم
balam-balam,بلم٢,بالم٢
balas,بلاس,بالس
balasan,بلاسن,بالسن
berbalasan,بربلاسن,بربالسن
balela,باللا,باليلا
balerina,بالرينا,باليرينا
balian,بالين,بليان
kebalikan,کباليقن,کباليقکن
balingian,باليڠين,باليڠيان
balon-balonan,بالون٢,بالون-بالونن
bancang,بانچڠ,بنچڠ
membancang,ممبانچڠ,ممبنچڠ
bancar,بانچر,بنچر
membancuh,ممبانچوه,ممبنچوه
bandan,باندن,بندن
diperbandarkan,دڤربندرکن,دڤرباندرکن
bandarsah,باندرسه,بندرسه
bandos,باندوس,بندوس
bandot,باندوت,بندوت
bandu,باندو,بندو
banduk,باندوق,بندوق
bandut,باندوت,بندوت
membandut,ممباندوت,ممبندوت
pembandut,ڤمباندوت,ڤمبندوت
dibanggakan,دبڠݢکن,دبڠݢاکن
bangir,باڠير,بڠير
bangkah,بڠکه,باڠکه
bangkal,بڠکل,باڠکل
terbangkit,ترباڠکيت,تربڠکيت
bangkung,بڠکوڠ,باڠکوڠ
bani,باني,بني
banian,بانين,بانيان
berbanjar-banjar,بربنجر-بانجر,بربنجر-بنجر
dibankkan,دبڠکن,دبڠککن
perbankan,ڤربنکن,ڤربڠککن
bantang,بانتڠ,بنتڠ
pembanting,ڤمبانتيڠ,ڤمبنتيڠ
pembantingan,ڤمبانتيڠن,ڤمبنتيڠن
banu,بانو,بنو
berbapakan,برباڤقن,برباڤاکن
kebaqaan,کباقاءن,کبقاءن
dibarai,دباراي,دباراءي
membarai,ممباراي,ممباراءي
barakuda,براکودا,باراکودا
baras,براس,برس
barbarisme,برباريسمى,بربريسمى
membarbeku,ممڤربکو,ممڤربيکو
bareng,باريڠ,بارڠ
berbareng,برباريڠ,بربارڠ
membarengi,ممباريڠي,ممبارڠي
berbaring-baring,برباريڠ٢,برباريڠ-باريڠ
baris-berbaris,باريس٢,باريس-برباريس
barkandan,برکندن,برقندان
barkas,برکس,بارکس
barograf,بروݢرف,باروݢرف
barok,باروق,باروک
basitah,باسيته,بسيطه
basya,باش,باشا
batan,بتن,باتن
batara,باتارا,بتارا
batela,باتلا,باتيلا
berbateri,بربتري,برباتري
bersebati,برسبتي,برسباتي
batil,باتيل,باطل
batin,باتين,باطين
berbatin,برباتين,برباطين
membatin,ممباتين,ممباطين
batrik,باتريک,بطريک
batu-batan,باتو-بتن,باتو-باتن
bau,باو,باءو
pembau,ڤمباو,ڤمباءو
sebau,سباو,سباءو
terbau,ترباو,ترباءو
berpembawaan,برڤمباواءن,برڤمباءواءن
bayan,باين,بيان
membayankan,ممباينکن,ممبيانکن
terbayan,ترباين,تربيان
bayangkari,بايڠکري,بايڠکاري
bayi,بيي,بايي
bazar,بذر,بازر
bazuka,بازوک,بازوکا
bdelium,بديليوم,بدليوم
bearing,بياريڠ,بيريڠ
dibebani,دبيبني,دببني
dibebankan,دبيبنکن,دببنکن
membebani,ممبيبني,ممببني
membebankan,ممبيبنکن,ممببنکن
beban,ببن,بيبن
terbebang,تربيبڠ,ترببڠ
berbebar,بربيبر,برببر
berbebaran,بربيبرن,برببرن
bebaran,ببرن,ببارن
bebas,ببس,بيبس
dibebaskan,دببسکن,دبيبسکن
pembebas,ڤمببس,ڤمبيبس
pembebasan,ڤمببسن,ڤمبيبسن
terbebas,ترببس,تربيبس
bebesaran,ببسرن,ببسارن
bebet,بيبيت,ببت
beca,بيچا,بچا
becak,بيچق,بچق
berbecak,بربيچق,بربچق
becang,بچڠ,بيچڠ
beda,بدا,بيدا
bedak,بدق,بيدق
membedak,ممبدق,ممبيدق
bedaya,بداي,بدايا
membega,ممبيݢ,ممبيݢا
membega-bega,ممبيݢ-بيݢا,ممبيݢا-بيݢا
begar,بيݢر,بݢر
kebegaran,کبݢرن,کبيݢرن
membegari,ممبيݢيري,ممبيݢري
begum,بݢوم,بيݢوم
bek,بيق,بيک
mengembek,مڠيمبيق,مڠمبيق
bekahah,بکاهه,بکاهق
bekasan,بکاسن,بکسن
bela,بيلا,بلا
berbela,بربيلا,بربلا
berbelakan,بربلقن,بربلاکن
dibela,دبيلا,دبلا
pembela,ڤمبيلا,ڤمبلا
teperbela,تڤربيلا,تڤربلا
belaan,بلاءن,بيلاءن
membela,ممبلا,ممبيلا
pembelaan,ڤمبلاءن,ڤمبيلاءن
terbela,تربلا,تربيلا
belak,بلق,بيلق
belang,بلڠ,بيلڠ
belat-belit,بيلت-بليت,بلت-بليت
berbelau-belau,بربلاو٢,بربلاو-بلاو
kebelauan,کبلاوان,کبلاون
belcanto,بيلننتو,بيلکنتو
belebar,بلبر,بليبر
beleda,بليدا,بلدا
belek,بيليق,بليق
membelek,ممبيليق,ممبليق
belera,بلرا,بليرا
belian,بليان,بلين
belok,بيلوق,بلوق
membelok,ممبيلوق,ممبلوق
pembelokan,ڤمبيلوقن,ڤمبلوقن
belom,بيلوم,بلوم
belon,بيلون,بلون
membelot,ممبلوت,ممبيلوت
beloti,بيلوتي,بلوتي
beman,بمن,بيمن
bena,بينا,بنا
membenakan,ممبناکن,ممبيناکن
bendahara,بندهارا,بنداهارا
perbendaharaan,ڤربندهاراءن,ڤربنداهاراءن
bendaharawan,بندهاراون,بنداهاراون
bendahari,بنداهري,بنداهاري
bendang,بيندڠ,بندڠ
membendarkan,ممبيندرکن,ممبندرکن
bendari,بندري,بنداري
bende,بيندي,بندي
bendel,بينديل,بيندل
pembendel,ڤمبينديل,ڤمبيندل
bender,بيندير,بيندر
bendera,بندرا,بنديرا
membenderai,ممبندراي,ممبنديراءي
bendih,بنديه,بينديه
bendo,بيندو,بندو
bendok,بيندوق,بندوق
bendoro,بيندورو,بندورو
bengkang,بڠکڠ,بيڠکڠ
bengkok,بيڠکوق,بڠکوق
bengoh,بيڠوه,بڠوه
benigna,بينيݢنا,بنيݢنا
benjil,بنجيل,بينجيل
bentan,بنتن,بينتن
bentar,بنتر,بينتر
berbentar,بربنتر,بربينتر
membentari,ممبنتري,ممبينتري
membentarkan,ممبنترکن,ممبينترکن
perbentaran,ڤربنترن,ڤربينترن
bentet,بينتيت,بنتيت
kebentok,کبينتوق,کبنتوق
bentukan,بنتوکن,بنتوقن
pemberahi,ڤمبرهي,ڤمبراهي
berak,بيرق,برق
terberak,تربيرق,تربرق
memberak,ممڤيرق,ممبيرق
memberaki,ممڤراقي,ممبيرقي
memberakkan,ممڤيرقکن,ممبيرقکن
berambung,برامبوڠ,برمبوڠ
beran,بران,برن
berancai,برانچاي,برنچاي
beranda,براندا,برندا
berandal,براندل,برندل
berandang,براندڠ,برندڠ
berang,برڠ,بيرڠ
keberangan,کبرڠن,کبيرڠن
memberang,ممڤيرڠ,ممبيرڠ
memberangi,ممڤرڠي,ممبيرڠي
diberani-beranikan,دبراني٢,دبراني-برانيکن
berantakan,برانتاکن,برنتاکن
berantas,برانتس,برنتس
pemberantasan,ڤمبرانتسن,ڤمبرنتسن
berarakan,برارقن,براراکن
beras,براس,برس
beras-beras,براس٢,برس٢
berdikari,برديکري,برديکاري
berek,بيريق,بيريک
beremban,برامبن,برمبن
berembang,برامبڠ,برمبڠ
berembau,برامباو,برمباو
beremi,برامي,برمي
berenas,براينس,برنس
berenga,براڠا,برڠا
berenggil,براڠݢيل,برڠݢيل
berentang,براينتڠ,برنتڠ
bererot,برايروت,بريروت
bererotan,برايروتن,بريروتن
beres,بيريس,بريس
diberesi,دبريسي,دبيريسي
memberesi,ممڤريسي,ممبيريسي
membereskan,ممڤيريسکن,ممبيريسکن
beret,بيريت,بريت
bergedel,برݢيديل,برݢديل
beri,بيري,بري
berian,براين,برين
memberi,ممڤري,ممبري
memberikan,ممڤريکن,ممبريکن
beriang,براياڠ,برياڠ
beriberi,بريبري,بيريبيري
berida,برايدا,بريدا
berik,براق,بريق
berinda,برايندا,بريندا
beringas,برايڠس,بريڠس
bering-bering,بريڠ-بريڠ,بريڠ٢
beringin,برايڠين,بريڠين
beringisan,برايڠيسن,بريڠيسن
berisik,برايسيق,بريسيق
berkat,برکت,برکة
berkelium,برکليوم,برکيليوم
berko,برکو,بيرکو
bernas,برنص,برنس
beroci,براوچي,بروچي
beroga,براوݢ,بروݢ
beroi,براوي,بروي
berombong,براومبوڠ,برومبوڠ
berondong,براوندوڠ,بروندوڠ
berondongan,براوندوڠن,بروندوڠن
berongsang,براوڠسڠ,بروڠسڠ
berongsong,براوڠسوڠ,بروڠسوڠ
beronok,براونوق,برونوق
berontak,براونتق,برونتق
beronyeh,براوڽيه,بروڽيه
berot,براءوت,بيروت
beroti,براوتي,بروتي
berudu,براودو,برودو
berui,براوي,بروي
berujul,براوجول,بروجول
berumbun,براومبون,برومبون
berunai,براوناي,بروناي
berunang,براونڠ,برونڠ
berunsai,براونساي,برونساي
beruntus,براونتوس,برونتوس
besan,بسن,بيسن
berbesankan,بربسنکن,بربيسنکن
besar-besaran,بسر٢,بسر-بسرن
besaran,بسرن,بسارن
besot,بيسوت,بسوت
membestarikan,ممبستريکن,ممبستاريکن
membestel,ممبيستيل,ممبستيل
betek,بيتيق,بيتق
beti,بتي,بيتي
beti-beti,بتي٢,بيتي٢
beton,بيتون,بتون
betot,بيتوت,بتوت
biadat,بيادت,بيعادة
biah,بياه,بيئه
bidadari,بيدادري,بيداداري
bidari,بيدري,بيداري
bighair,بغاءر,بغير
bihausy,بيهاءوش,بيهوش
membikin,ممبيقين,ممبيکين
pembikin,ڤمبيقين,ڤمبيکين
pembikinan,ڤمبيقينن,ڤمبيکينن
terbikin,تربيقين,تربيکين
berbikini,بربيقيني,بربيکيني
bikir,بيکير,بکر
bilal,بيلل,بلال
bilhak,بلهاق,بالحق
bin,بين,بن
berbin,بربين,بربن
membinkan,ممبينکن,ممبنکن
bini-binian,بيني٢,بيني-بينين
binti,بينتي,بنت
berbinti,بربينتي,بربنت
dibintikan,دبينتيکن,دبنتيکن
bioekologi,بيويکولوݢي,بيوايکولوݢي
bioenergetik,بيواينݢيتيک,بيواينرݢيتيک
biogenesis,بيوݢينيسيس,بيوݢينسيس
biolingustik,بيوليڠݢوستيک,بيوليڠݢوءيستيک
bias,بياس,بيسا
bismillah,بسملاح,بسمالله
bissawab,بيسواب,بالصواب
bitumen,بيتومن,بيتومين
memblok,ممبلوق,ممبلوک
memblokade,ممبلوکادى,ممبلوکادي
sebodoh-bodoh,سبودوه٢,سبودوه-بودوه
bohemian,بوهيمين,بوهيميان
diboikot,دبوءيکوت,دبويکوت
seboleh-boleh,سبوليه٢,سبوليه-بوليه
berbolong-bolong,بربولوڠ٢,بربولوڠ-بولوڠ
bolt,بولت,بوت
bombardemen,بومبردمن,بومبردمين
borik,بوريق,بوريک
boulevard,بولۏرد,بولۏارد
brahman,برهمن,برهمان
braille,برايلي,بريل
brasben,براسبن,برسبين
membrek,ممڤير,ممڤريک
membrekkan,ممڤريقکن,ممڤريککن
brengan,بريڠن,بريڠݢن
brevet,بريۏيت,برۏيت
brigedier,بريݢيدير,بريݢيديار
buaya,بواي,بوايا
buaya-buaya,بواي٢,بوايا٢
membuaya,ممبواي,ممبوايا
budaya,بوداي,بودايا
berbudaya,بربوداي,بربوديا
membudaya,ممبوداي,ممبودايا
buddha,بودها,بودا
budek,بوديق,بودق
dibukakan,دبوککن,دبوکاکن
bukit-bukau,بوکيت٢,بوکيت-بوکاو
bulan-bulanan,بولن٢,بولن-بولنن
bulat-mulat,بولت٢,بولت-مولت
kebulur-kebelai,کبولور٢,کبولور-کبلاي
bunduki,بوندوقي,بوندوکي
membunga-bungai,ممبوڠا-بوڠاي,ممبوڠا-بوڠاءي
membuntelkan,ممبونتيلکن,ممبونتلکن
buntet,بونتيت,بونتت
bunyi-bunyian,بوڽي٢,بوڽي-بوڽين
buraq,بورق,براق
burdah,بورده,بردة
burka,بورک,برقى
buruj,بوروج,بروج
bustan,بوستن,بستان
dibusuk-busukkan,دبوسوق-بوسوقکن,دبوسوق-بوسوکن
butana,بوتان,بوتانا
butarepan,بوتارڤن,بوتارفن
butik,بوتيق,بوتيک
cabang-bercabang,چابڠ٢,چابڠ-برچابڠ
mencadai,منچاداءي,منچاداي
cakalele,چکاليل,چاکاليلي
tercakap,ترچاکڤ,ترچاکق
caklempong,چکليمڤوڠ,چقليمڤوڠ
cakna,چکنا,چقنا
cakruk,چکروق,چاکروق
caktai,چکتاي,چقتاي
calabikang,چلابيقڠ,چلابيکڠ
bercalik-calikan,برچاليق-چاليکن,برچاليق-چاليقن
calui,چالوي,چالوءي
cambul,چمبول,چامبول
campa,چامڤا,چمڤا
candelier,چنديليير,چنديليئر
mencangcang,منچاڠچڠ,منچڠچڠ
cangerai,چڠݢراي,چڠراي
cangkal,چاڠکل,چڠکل
cangkat,چاڠکت,چڠکت
cangking,چڠکيڠ,چاڠکيڠ
cangkingan,چڠکيڠن,چاڠکيڠن
cangku,چاڠکو,چڠکو
dicangkul,دچاڠکول,دچڠکول
mencangkul,منچاڠکول,منچڠکول
tercangkul,ترچاڠکول,ترچڠکول
mencangkum,منچاڠکوم,منچڠکوم
mencangkup,منچاڠکوڤ,منچڠکوڤ
cangkur,چاڠکور,چڠکور
canigara,چانيݢارا,چنيݢارا
cantel,چنتل,چنتيل
cantelan,چنتلن,چنتيلن
cantung,چنتوڠ,چانتوڠ
capati,چاڤتي,چڤاتي
caperon,چڤرون,چاڤرون
capgome,چاڤݢومي,چڤݢومي
caran,چرن,چارن
bercaran,برچرن,برچارن
carik-serenyih,چاريق٢,چاريق-سرڽيه
cartisme,چرتيسمى,چرتسمى
dicebak,دچيبق,دچبق
cebik-cebai,چبيق٢,چبيق-چباي
cecakup,چچاکوڤ,چچکوڤ
cecar,چچر,چچار
mencecar,منچچر,منچچار
cegak,چݢق,چيݢق
cekatan,چکتن,چکاتن
kecekatan,کچکتن,کچکاتن
mempercekcokan,ممڤرچيقچوقن,ممڤرچيقچوقکن
cekel,چيکيل,چکل
dicela,دچيلا,دچلا
cela,چلا,چيلا
celabikang,چلابيقڠ,چلابيکڠ
celak,چلق,چيلق
bercelak,برچلق,برچيلق
